Pathological_type,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Rectal,Rectal,Rectal,Rectal,Rectal,Rectal
hsa-miR-149(1),-12.54182969,-14.92257979,-11.76210951,-12.24476693,-14.01748247,-14.29639462,-8.446843335,-13.92034131,-14.35262986,-15.77776323,-12.93803006,-13.36780029,-11.60180362,-12.90658408,-12.47426157,-16.34660607,-14.25068165,-13.38159143,-11.19744495,-12.56097705,-12.43933081,-13.80641344,-11.72753548,-8.805761866,-9.742770814
hsa-miR-152(1),-12.12106763,-10.25106311,-12.0110192,-10.87719488,-10.02649601,-9.508613435,-13.28640012,-10.29459782,-9.017468267,-8.853343026,-7.383474693,-8.689236404,-10.30208627,-9.26048577,-8.224843776,-10.70409943,-12.84163617,-9.737179821,-8.417210056,-10.84775686,-12.82050595,-10.42879841,-12.79727574,-12.87099152,-11.58307498
hsa-miR-139(1),-13.16836948,-11.83680996,-12.78595225,-11.17764987,-12.24926917,-11.39150254,-11.13637633,-11.33432048,-9.940847655,-11.07573456,-11.5742761,-11.78343268,-11.37692984,-11.99404173,-10.44927689,-15.19821423,-13.80434802,-13.15864042,-11.02704232,-8.547268316,-11.23266253,-11.14328091,-11.48902311,-10.69075816,-10.45959062
hsa-miR-502(1),-13.39551567,-13.74967093,-14.14758816,-12.71227418,-13.41744631,-12.57116917,-13.50866283,-12.91927926,-12.95448331,-13.50362724,-12.80149229,-13.42060665,-12.53390249,-12.439451,-12.30674388,-12.89723178,-14.29639462,-10.94363098,-12.83726915,-13.82304411,-14.20910254,-12.95999053,-15.52557621,-13.20241011,-14.96809445
hsa-miR-455-3p(1),-12.24637827,-12.81290776,-19.28080401,-13.40800661,-13.36323239,-11.94968168,-15.74570202,-12.59735787,-13.73386041,-12.50315814,-11.69233285,-14.59171857,-11.37692984,-13.18669438,-11.81066718,-12.50583234,-17.7552458,-12.05910915,-13.31833161,-13.59171857,-16.15546458,-14.78589111,-13.74372166,-13.66665688,-15.7066022
hsa-miR-103(2),-6.928563386,-6.892148427,-5.915270137,-5.552718041,-7.59879687,-4.932786093,-7.506898108,-6.426069228,-7.764064492,-7.646892505,-6.219023084,-7.92545116,-6.130632279,-7.912800189,-6.897929971,-5.554668577,-8.626591018,-6.071180396,-6.779315421,-7.588796897,-8.363754109,-7.43051289,-7.804558298,-8.123953631,-8.848408399
hsa-miR-195(1),-13.76164357,-10.38036981,-13.63327684,-11.23479573,-10.32283324,-13.09254119,-11.45722176,-11.11192912,-10.30989212,-10.83241015,-11.64141606,-10.90896218,-14.16868828,-10.17386522,-11.96065166,-12.75297343,-12.54574067,-12.50656253,-13.97040831,-11.1334662,-13.86763426,-11.46284679,-15.63144484,-14.42060665,-14.13196315
hsa-miR-194(2),-10.35093124,-10.89905993,-11.1903443,-10.417914,-7.836769387,-10.83267586,-5.274420752,-6.376252438,-6.443677424,-8.355513221,-5.05369858,-7.540938497,-6.615448006,-6.594231834,-7.277584228,-7.02580364,-7.826819789,-6.334821135,-4.809234887,-5.237924152,-6.73335622,-6.673486361,-5.254790994,-6.71518055,-6.945122435
hsa-let-7c(1),-9.526719718,-8.052820625,-5.779860588,-6.841544501,-8.592700178,-8.741145688,-7.575901711,-9.606401431,-8.622215572,-9.540448522,-11.01130207,-8.064222639,-10.33284235,-8.043633639,-8.429710988,-12.12576667,-9.576470793,-10.92598332,-9.953229913,-11.35810315,-11.25110003,-9.044791342,-11.82704844,-11.41556525,-9.352242259
hsa-let-7g(1),-7.044444314,-6.438651627,-6.633731476,-6.243588026,-6.567795181,-7.364972671,-6.759283274,-7.895030894,-8.534036181,-9.081899194,-8.71442754,-8.209474879,-8.016378219,-7.425460619,-7.554054075,-7.151836289,-6.900480823,-7.726017825,-8.072351397,-7.777722392,-8.41403647,-8.85308215,-8.417092683,-7.998131662,-8.545107327
hsa-miR-24(2),-6.552684589,-5.891801543,-5.963933413,-5.83628422,-6.257006073,-5.457057552,-6.762960377,-6.024466469,-5.749227216,-4.947774482,-5.629218813,-6.01209971,-5.984613237,-6.683430925,-7.354408855,-7.48365753,-8.213344814,-7.104911248,-5.4505547,-7.569771978,-8.167516812,-6.282281063,-6.229570386,-7.831285677,-6.954522673
hsa-miR-142-3p(1),-11.65608188,-12.39966471,-13.81886844,-9.331020969,-11.8808329,-10.32546322,-12.70820394,-12.11193232,-11.18144447,-10.79128327,-11.08738067,-11.26885747,-12.72891577,-10.90658131,-9.577492233,-12.4932674,-9.948287055,-11.05910607,-9.102654604,-6.675790955,-9.366972237,-9.192410731,-14.97272589,-10.57896892,-11.12867421
hsa-miR-423-3p(1),-8.509812985,-8.574665484,-6.761369801,-7.457484948,-8.394575911,-6.914667157,-8.895730251,-8.633881908,-8.894125257,-8.818106376,-7.867668633,-9.250936533,-7.947556415,-8.486248968,-8.349997473,-8.44005615,-9.705647795,-8.15864331,-8.074203727,-9.602909348,-10.06145974,-8.613815108,-9.38564459,-8.374997853,-8.977285729
hsa-miR-653-3p(1),-15.20364811,-19.14916,-16.27621674,-29.89735285,-18.11599314,-19.13248126,-19.76806984,-29.89735285,-11.36344143,-29.89735285,-29.89735285,-29.89735285,-13.80641344,-29.89735285,-18.24450788,-19.93156857,-19.11599314,-29.89735285,-12.32807574,-14.72993471,-21.2038659,-13.8741183,-17.06564975,-16.60964047,-16.4590808
hsa-miR-9(3),-14.03675081,-11.74436003,-16.95337294,-9.99862896,-13.40957561,-14.45583514,-11.2296453,-13.911422,-14.25914323,-10.23175149,-13.60783823,-11.1313546,-12.88979992,-12.67139233,-11.89329153,-8.600346495,-6.972776089,-9.900123746,-8.24672573,-11.66478671,-14.06367211,-15.48531234,-16.71744376,-16.13455559,-13.49360848
hsa-miR-1307-5p(1),-9.448212271,-10.76821828,-10.5670027,-10.8361821,-11.68443381,-10.94719853,-11.59984544,-8.23278361,-7.765405173,-8.064221867,-8.000522697,-9.420861754,-9.195483795,-10.14855398,-9.826668467,-9.254587199,-9.769588958,-8.644070302,-6.854779856,-9.367864154,-8.72114561,-9.57194967,-8.921569245,-8.545867376,-7.292485443
hsa-miR-151-5p(1),-8.844424005,-7.995691926,-7.18092857,-7.886585401,-8.506714697,-9.968461524,-9.385794176,-10.83182102,-9.7865841,-9.853343026,-9.553052611,-9.818197541,-9.37321674,-8.875102904,-9.234235201,-8.138464397,-9.498756319,-8.214454256,-8.600687535,-9.131455735,-10.20843839,-10.00004949,-10.4390604,-9.755730883,-9.946355636
hsa-let-7a(3),-5.024099697,-4.141770225,-4.023344496,-4.038402084,-4.022039814,-3.985807806,-4.106552841,-7.370847645,-6.338257054,-6.83071211,-7.392797147,-5.913255184,-6.686058497,-5.204371558,-5.99739682,-6.376245487,-3.907864476,-6.580243634,-7.991482958,-5.71296462,-6.658310876,-6.063035547,-7.397062868,-6.723846349,-6.717778412
hsa-miR-374b(1),-11.844424,-11.47851611,-11.3120235,-10.76056696,-11.11385259,-11.77644677,-9.815299994,-11.74935798,-11.01033161,-11.93487477,-10.97088601,-10.89034749,-10.34748736,-10.61900322,-10.65597713,-10.1776081,-11.7964801,-10.96599782,-13.10973082,-10.52266993,-12.35089544,-11.36567061,-13.57050208,-11.7788629,-12.56781051
hsa-miR-378(1),-10.70389006,-10.55200175,-10.78996718,-10.58995857,-9.670787786,-10.05947242,-11.9879871,-11.33432048,-10.68083196,-10.83757536,-12.08590917,-11.19846849,-11.84756279,-10.13606297,-10.91595281,-10.15558141,-12.48373319,-11.10801663,-9.843995674,-7.481790559,-9.816726572,-11.49185817,-14.41744631,-13.26211654,-9.461704973
hsa-let-7b(1),-4.818726497,-5.079419827,-4.298590094,-4.012204183,-4.144256382,-3.845340209,-4.431278136,-7.09273574,-6.09094218,-6.133672422,-8.291467367,-5.254849495,-7.466791577,-4.839421846,-6.525248748,-7.72670647,-5.692425205,-6.782983154,-6.470065845,-6.567637937,-7.314807242,-6.091038163,-7.678628223,-7.042506342,-6.811748136
hsa-miR-28-3p(1),-13.11374069,-11.48651647,-12.25544223,-10.84917999,-10.39482014,-11.56353799,-14.29060066,-12.59735787,-11.45090356,-12.60625412,-12.21170748,-11.50332566,-12.93244798,-11.99404173,-11.60350855,-10.76298921,-11.19592455,-11.44243511,-10.36871561,-9.750764291,-11.24130863,-11.23145141,-12.88857411,-11.50296553,-10.13203761
hsa-miR-1468(1),-11.61411073,-13.65917206,-16.10374954,-13.26204568,-14.04160837,-13.40174762,-14.97737226,-13.92034131,-17.25801215,-13.19120762,-13.17999773,-13.71627826,-15.38931052,-13.29349473,-14.96347782,-16.680607,-14.64987032,-15.96809445,-14.45583514,-10.87292196,-13.82095476,-12.41085561,-15.82723191,-13.76766736,-12.83023366
hsa-miR-148b(1),-10.62362099,-8.927848287,-9.766056039,-10.79002593,-9.540350762,-9.579490925,-10.89560107,-7.788250412,-8.073384709,-8.735429384,-6.894542988,-8.471258076,-6.879910981,-8.077178957,-7.262618453,-7.684896248,-8.445796607,-8.086414925,-7.125561973,-9.379506646,-11.1496024,-9.818880164,-8.649062738,-9.076903518,-9.77090296
hsa-miR-27b(1),-7.025238442,-6.049004611,-8.021010155,-7.535599656,-6.450316305,-7.669393544,-8.189096176,-6.141207039,-5.304609096,-4.02407362,-4.946671176,-4.923675367,-4.991090476,-5.262300475,-5.89389825,-6.795048556,-7.659632308,-5.387625502,-4.506894467,-6.544996317,-8.437055953,-5.763059484,-7.240010414,-8.09218603,-7.729332078
hsa-miR-218(2),-15.13455559,-13.00287847,-13.02988105,-12.14522705,-13.04870546,-11.60211753,-14.79406505,-12.33432048,-12.30406387,-12.66069394,-11.48827273,-10.33026019,-10.99956352,-10.60172739,-9.9925301,-14.1216397,-14.04892552,-12.79607474,-11.45103684,-11.29627489,-14.19280073,-9.431154882,-10.83694453,-10.13108763,-13.67795742
hsa-miR-196a(2),-18.00177757,-14.95887592,-12.25544223,-16.47213695,-16.6775793,-16.4333177,-17.15757224,-29.89735285,-15.25914323,-29.89735285,-29.89735285,-16.17668107,-15.97737226,-29.89735285,-18.89594466,-19.93156857,-17.76806984,-29.89735285,-10.09160741,-11.79179725,-17.24899527,-17.30396173,-14.59528518,-15.19821423,-16.22007366
hsa-miR-532-5p(1),-12.12597945,-12.05586836,-12.1903443,-11.36095764,-11.7780216,-11.4893466,-11.40192719,-10.83182102,-11.35137031,-12.361136,-10.78589111,-11.44782936,-9.873555193,-11.11139918,-9.971623129,-11.25017553,-11.04266706,-10.64407088,-10.70894511,-10.87759383,-12.56396162,-12.22489298,-13.13288293,-11.63926995,-11.74191201
hsa-miR-542(1),-14.41744631,-15.05382432,-19.28080401,-16.82891044,-16.53925115,-15.81055317,-17.39303041,-14.91810631,-12.86594241,-11.83757536,-14.42694818,-15.58816075,-12.06995432,-14.40800661,-12.39260368,-14.57050208,-15.53925115,-13.96578428,-14.03190954,-15.68364106,-15.92257979,-16.18740747,-18.20473735,-16.3586789,-15.10374954
hsa-miR-92b(1),-11.37118223,-11.28858547,-10.09747681,-11.20663186,-13.3586789,-10.28751042,-10.15951303,-10.67135704,-11.5532477,-11.08818137,-8.243207658,-11.28093324,-9.06446284,-11.37933369,-9.188267358,-10.8604629,-8.313465301,-9.517592701,-10.25604723,-9.904355067,-11.09590341,-8.303031895,-9.24984524,-8.03651669,-10.47090586
hsa-miR-574-3p(1),-12.88440102,-11.98009734,-13.44453249,-12.39867502,-11.44141164,-12.13523688,-13.10823955,-11.91928484,-11.40028069,-11.50315814,-10.44334681,-10.40756564,-10.47699783,-10.70864087,-9.556692102,-13.67984948,-13.23599226,-11.44243511,-10.86094847,-12.79426999,-14.77776323,-11.31197949,-11.78710406,-13.45745706,-14.57753963
hsa-miR-10b(1),-9.870437733,-9.059779583,-10.04898971,-9.250143023,-9.85074971,-9.525040402,-10.00767214,-10.45985272,-10.07835104,-10.10374954,-9.493619921,-9.447829362,-10.75284148,-11.13606135,-9.7260612,-8.934427203,-10.29980946,-11.87853328,-8.421812366,-7.134481196,-10.03867062,-10.96581602,-11.46991314,-13.62231961,-10.77659607
hsa-miR-340(1),-11.41630239,-11.77234306,-10.47367678,-11.07102782,-12.07660048,-12.69496115,-11.2049587,-12.91927926,-11.06843542,-12.31674096,-11.77046189,-12.5318933,-12.09419924,-12.29360337,-12.10185852,-11.14162744,-8.051050245,-12.15864042,-13.91364666,-9.477056435,-11.20702743,-10.90013202,-13.23057408,-12.00246998,-10.90500086
hsa-miR-193a-3p(1),-15.65358382,-15.56699614,-16.95520493,-14.50866283,-13.11787715,-16.32275933,-13.70082757,-10.67135704,-15.67606784,-15.03917754,-12.6374717,-11.47530863,-14.16868828,-10.90658131,-12.49847559,-13.07615188,-15.96809445,-10.79607218,-15.41429288,-14.23947619,-17.2969753,-13.5970718,-18.93880014,-15.71433785,-15.10374954
hsa-miR-184(1),-10.70114217,-10.30620675,-18.27621674,-9.599536498,-15.19821423,-9.134532887,-21.61195064,-13.92034131,-29.89735285,-12.0392079,-15.60244497,-17.17668107,-14.16868828,-15.99610882,-14.12679219,-12.1864321,-18.71744376,-13.38159143,-29.89735285,-12.25922809,-13.64247187,-14.98203364,-13.02535139,-11.68394007,-12.66517554
hsa-miR-505(1),-14.79816944,-13.55305695,-14.95428865,-14.14497221,-14.31098216,-14.57401656,-16.14497221,-29.89735285,-14.55652914,-13.90255748,-16.11394531,-14.36780029,-13.65544416,-14.18740747,-13.30951675,-14.90476851,-15.05382432,-14.38005255,-12.20175752,-14.25631718,-14.39551567,-12.99457736,-13.70467476,-12.87788157,-14.62778782
hsa-miR-183(1),-9.013716914,-8.718336129,-7.95306545,-9.281732197,-10.77294121,-7.349873911,-8.611578142,-12.91927926,-9.126402697,-7.977433706,-6.210331036,-11.50332566,-9.188940815,-10.84429669,-7.91498485,-8.353184084,-8.307020284,-7.801091315,-9.809029142,-12.43169877,-10.12472093,-11.70879298,-9.818700358,-9.800218313,-7.923950115
hsa-miR-423-5p(1),-9.528778188,-10.59807551,-8.533815868,-9.757499273,-10.53828538,-9.372202952,-10.5603713,-10.11192912,-11.51679456,-12.15168509,-12.11559615,-12.00582426,-11.06995432,-12.29360337,-12.7571222,-10.45419076,-11.99956647,-11.21111224,-12.16761263,-11.49011414,-11.49340049,-12.87853328,-12.88133898,-13.09596025,-10.33935262
hsa-miR-185(1),-8.492480517,-9.883712587,-10.54648919,-9.197251849,-10.67255978,-9.982388226,-9.343649509,-13.92034131,-11.7664053,-12.15168509,-11.66354596,-12.42085978,-12.48498975,-12.60172739,-12.23787951,-11.49535258,-11.36765542,-11.01180244,-12.16761263,-11.98271079,-12.30938494,-12.16194888,-14.85261723,-12.37111345,-11.55872092
hsa-miR-21(1),-6.654474743,-4.226848738,-8.488274806,-5.777742338,-4.846095737,-6.582216839,-7.527209842,-4.754377274,-3.619597777,-3.881989274,-4.210055776,-3.772337894,-4.418303207,-3.925601368,-2.990761081,-6.106869521,-3.814665185,-5.610647119,-2.918142797,-3.554857391,-5.312469467,-1.695012557,-4.975080375,-5.123953631,-5.135339001
hsa-miR-155(1),-13.54269023,-12.47479527,-15.57401656,-10.89561481,-14.4333177,-11.83038601,-14.92257979,-13.92034131,-13.40018711,-13.36171296,-14.36780029,-14.36780029,-15.17134762,-13.9937534,-13.14324828,-14.10883842,-13.09539194,-13.38159143,-13.60783823,-10.81651972,-14.95428865,-12.95605302,-16.82555533,-15.99610882,-17.65358382
hsa-miR-221(1),-8.064995517,-6.800199983,-12.5498872,-6.812720912,-8.986565217,-7.99725443,-11.51467395,-6.805542051,-10.74255946,-7.652916137,-5.970701244,-8.667954877,-6.703630642,-8.746116388,-6.912772202,-7.498685609,-9.920738389,-6.77370535,-8.884589207,-7.386538715,-7.79926389,-6.087965939,-7.986764284,-7.282038656,-7.377718761
hsa-miR-331(1),-12.29805744,-12.4138362,-12.50962158,-11.37498971,-13.23872295,-10.49841715,-12.29452353,-10.83182102,-11.28097991,-12.40694067,-10.24741257,-12.47531273,-11.53389821,-12.35018719,-12.34793667,-11.94205486,-11.85936628,-11.87853328,-11.88502294,-12.14219143,-12.16528482,-9.758439886,-11.81783682,-10.75722208,-12.93602752
hsa-miR-224(1),-16.32275933,-12.57741618,-14.88717445,-13.61506075,-12.21786588,-13.48531234,-14.46886182,-29.89735285,-12.58583512,-13.03921398,-12.33899194,-13.08828816,-13.45259676,-13.67229608,-13.57577702,-16.92796633,-16.58107132,-14.96809445,-14.49860916,-13.23905768,-15.4787096,-13.72797586,-17.93880014,-16.99610882,-17.65358382
hsa-miR-148a(1),-8.941920751,-5.26518771,-9.754246211,-9.237270759,-2.553051299,-9.058915233,-12.7297877,-4.941760986,-6.844632083,-3.986913534,-6.428561535,-2.942491512,-6.355556223,-2.029124022,-6.288018308,-5.744558032,-6.538431544,-7.327562362,-5.379071354,-5.00802088,-8.443174068,-7.454399743,-10.67500839,-10.12197084,-8.371629903
hsa-miR-133a(2),-12.22779647,-13.82933038,-18.27621674,-11.7646222,-16.11394531,-8.078500003,-13.99846809,-13.92034131,-13.86547938,-15.3586789,-14.92257979,-12.65219014,-17.24674983,-14.7737164,-12.75905105,-7.978798934,-16.51202968,-14.96809445,-15.31098216,-11.36095764,-13.17265249,-9.769400082,-15.92257979,-12.61459019,-14.17401188
hsa-miR-488(1),-15.76968089,-13.81678512,-18.27621674,-13.93608405,-17.7552458,-15.81055317,-19.17454532,-14.91810631,-15.08858974,-11.80654779,-12.12461946,-16.17668107,-13.97737226,-15.99610882,-14.43012942,-14.03190954,-15.72993471,-12.64406857,-17.2625418,-12.69747925,-12.59317981,-21.59357211,-17.06564975,-16.82723191,-11.75915106
hsa-miR-200c(1),-5.545724297,-5.212069422,-4.880512906,-4.732542461,-4.619538568,-4.757742916,-5.683316456,-6.405556628,-6.331778668,-6.593367309,-7.022366442,-7.090277062,-6.527178972,-6.080780376,-7.264325274,-6.350457217,-5.604853717,-6.539733467,-7.334275778,-5.522167688,-7.642500117,-6.451575655,-7.288284612,-6.797646928,-7.062339108
hsa-miR-30c(2),-8.60024515,-8.297883533,-7.507557688,-7.551942463,-6.15191497,-8.561000484,-8.372006493,-9.749359221,-8.66703683,-8.53249363,-8.232698983,-8.132284519,-9.193321744,-7.002521956,-8.24028218,-8.495615005,-8.889682902,-9.996525837,-8.058395949,-7.990418965,-9.610189479,-8.487082153,-9.489365266,-8.985712175,-9.838765189
hsa-miR-95(1),-10.65608188,-10.5129717,-8.756208022,-10.63708337,-11.52434755,-10.64779493,-10.93407009,-12.33432048,-9.596481972,-12.27367851,-10.07129321,-12.17574629,-10.03432966,-12.47048208,-11.81674349,-8.96898123,-10.64188624,-10.15864372,-10.84736874,-10.22608478,-13.03929899,-11.93538888,-11.59150485,-11.68167293,-11.94388958
hsa-miR-642-5p(1),-13.13337545,-16.40800661,-14.57753963,-15.63878682,-18.11599314,-13.82513649,-13.49360848,-29.89735285,-16.25349666,-29.89735285,-14.70274988,-29.89735285,-14.65358382,-16.99422418,-14.01987699,-15.84410573,-16.05382432,-12.05910915,-14.72601966,-13.00979903,-13.67984948,-15.94971592,-14.64247187,-12.3638254,-14.52898281
hsa-miR-769(1),-11.36463928,-12.50843585,-10.41362169,-11.45717309,-13.45745706,-10.63373749,-12.06471003,-10.67135704,-13.30366995,-13.55305695,-11.44240701,-12.7834276,-11.1064794,-12.67211717,-12.22975617,-10.31502708,-11.51096406,-11.71807061,-11.93441167,-11.73090533,-10.21765285,-12.13301253,-11.77365073,-11.7996036,-9.639411464
hsa-miR-27a(1),-9.960427417,-8.242317464,-9.664940125,-8.404362338,-9.492684213,-9.41106087,-8.640594196,-6.083233864,-5.049873125,-6.592126608,-6.26186178,-6.3061556,-6.128024973,-7.025376948,-6.047400245,-8.392297294,-9.118645235,-6.340289342,-6.43365288,-7.31169021,-8.632453299,-5.476472055,-6.252383857,-6.672358913,-6.775498769
hsa-miR-25(1),-10.05406663,-9.150003942,-9.228409023,-9.037169885,-9.114787289,-8.957371978,-10.18131548,-9.218844695,-8.434892519,-8.537770568,-8.122298437,-8.871968583,-7.8492748,-7.896011669,-7.743192991,-7.192728338,-8.926933054,-8.089481094,-7.989738553,-8.235048696,-10.36552976,-7.852216128,-10.30926229,-9.302319427,-9.946523607
hsa-miR-214-3p(1),-14.66478203,-11.84867974,-15.81886844,-11.86889636,-13.13732168,-13.45745706,-14.19280073,-29.89735285,-12.06843542,-12.361136,-13.87628613,-11.81819624,-15.38931052,-11.03984865,-11.83357861,-17.02083591,-14.95428865,-14.38005255,-12.03857048,-14.27050309,-16.74411752,-13.13711371,-16.71744376,-16.13455559,-15.32868416
hsa-miR-107(1),-11.52634199,-9.986641328,-10.12635996,-10.34400293,-11.71090488,-9.830763019,-11.95462073,-10.12903282,-10.93030395,-11.27367494,-10.16932109,-11.00582426,-9.204792687,-10.98662523,-11.05084938,-9.143125916,-12.51149045,-9.307786737,-9.311666832,-10.81502446,-11.95943886,-10.67165822,-10.54196089,-11.38764356,-12.59126446
hsa-let-7i(1),-5.705655249,-6.461733202,-6.44360999,-5.276022026,-7.687214249,-6.81906439,-6.640180129,-6.275427983,-6.143434181,-7.416425863,-7.111991986,-7.141638238,-6.273268595,-7.657537299,-6.310521196,-6.632202407,-6.497678035,-7.194508654,-5.794070409,-7.084903279,-7.201653454,-7.148872932,-7.151392597,-7.83050094,-6.558710853
hsa-miR-1179(1),-12.69019551,-14.18740747,-12.0110192,-11.16947892,-15.25349666,-13.33463343,-8.99128948,-13.92034131,-15.45259676,-15.3586789,-14.43971547,-14.85261723,-14.80641344,-13.9937534,-12.56849389,-12.25900886,-13.9383471,-12.50656253,-17.58674007,-10.84063841,-15.39551567,-16.64025971,-16.00556915,-12.53738887,-29.89735285
hsa-miR-490-3p(1),-20.32370567,-23.46773689,-14.57753963,-29.89735285,-20.9258093,-29.89735285,-22.93156857,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-17.38313194,-29.89735285,-29.89735285,-29.89735285,-16.12421365,-29.89735285,-21.2038659,-20.01013224,-18.93880014,-29.89735285,-29.89735285
hsa-miR-199a-5p(2),-9.919115823,-7.672950717,-14.06862132,-8.296487153,-8.134063479,-9.68422727,-9.842483608,-8.853194902,-6.933888044,-7.159430528,-7.845943749,-7.115945311,-9.332987488,-7.375658252,-4.950202954,-12.30094468,-9.651420705,-9.608446237,-5.766646484,-8.791691752,-10.35245632,-7.915835392,-11.13644777,-10.41971315,-9.703033637
hsa-miR-452(1),-15.67606784,-14.08106916,-16.95520493,-15.24226941,-13.37085361,-14.54613753,-15.56000971,-13.92034131,-12.90070283,-12.66069394,-14.1793552,-13.85475297,-15.38931052,-13.9937534,-14.37391341,-17.75844114,-15.80228555,-14.38005255,-14.94061371,-14.52217763,-15.74570202,-14.14758816,-20.52448779,-16.99610882,-15.20910254
hsa-miR-301a(1),-13.39240976,-12.64626808,-10.07813581,-12.23620106,-13.93608405,-13.33463343,-10.89543068,-11.11192912,-12.97285347,-13.66103963,-10.70977364,-12.62116482,-11.65491372,-13.40957561,-11.10325116,-11.08711701,-12.86611474,-11.79607474,-13.28168012,-11.38438868,-12.47628245,-11.78311741,-11.78541743,-11.32351339,-12.94783388
hsa-miR-181d(1),-13.34360358,-12.38862184,-9.649362776,-11.31890276,-12.60329756,-9.519795971,-14.52557621,-13.33463343,-10.69220633,-13.40643932,-12.02689782,-13.17574629,-10.73843997,-12.90658408,-11.32520778,-13.0011269,-15.59528518,-12.38103724,-11.31479185,-14.13196315,-14.15020886,-11.63751306,-12.78373276,-12.83443187,-13.92931612
hsa-miR-551b(1),-11.54019608,-13.00389726,-13.08798665,-18.0518628,-15.75365078,-12.38139898,-18.57542476,-11.33432048,-29.89735285,-14.36171296,-13.73976907,-29.89735285,-14.16868828,-16.99422418,-14.97737226,-10.10771733,-21.11927572,-11.87853328,-15.41429288,-16.14497221,-16.49860916,-15.63144484,-29.89735285,-16.74887627,-17.4590808
hsa-miR-653-5p(1),-15.51878704,-19.88892423,-19.28080401,-29.89735285,-20.9258093,-20.12916853,-21.61195064,-29.89735285,-9.72298425,-16.3586789,-21.02698813,-16.17668107,-14.27621674,-29.89735285,-17.06169716,-20.92868606,-19.2266966,-15.96809445,-12.53017702,-13.2632934,-29.89735285,-13.65172588,-19.52014232,-16.82723191,-15.7066022
hsa-miR-744(1),-10.01428601,-10.73924616,-7.35633945,-8.980658421,-12.38219203,-8.022376383,-9.690140684,-10.0613025,-10.24145183,-10.25261286,-8.474742403,-10.05680848,-8.416510893,-9.949650289,-12.13563283,-9.089086221,-11.68940435,-8.62614803,-9.63126635,-10.92677226,-11.7969369,-10.78794046,-10.01839192,-9.932751106,-11.15352759
hsa-miR-598(1),-15.59528518,-12.61903953,-11.16406605,-13.59350077,-14.90476851,-14.95887592,-13.56699614,-14.91810631,-12.42536812,-12.90170714,-10.31468344,-12.31777174,-10.56745362,-12.53461279,-9.415755409,-14.79816944,-12.42328255,-10.92160283,-11.85753953,-12.40447477,-13.09046344,-11.36147,-10.97830042,-10.40156417,-12.75222672
hsa-miR-146b(1),-10.19165804,-10.64955975,-10.45603373,-8.769804307,-9.872997719,-10.81670966,-12.34195487,-11.74935798,-11.86594241,-11.38385656,-12.01565932,-12.06722764,-11.87881035,-9.774874911,-12.51813527,-11.75671777,-11.94212298,-11.53973213,-10.25230665,-10.48238277,-10.78424661,-11.08842952,-13.94061371,-12.9120112,-12.3073068
hsa-miR-19b(2),-10.05202208,-11.3833015,-10.07730169,-9.521180821,-7.779587067,-9.82050334,-9.905800561,-8.385409628,-8.685256687,-8.940503838,-8.828069618,-8.102518192,-8.118862586,-8.145420669,-7.168854134,-7.877139257,-9.38462782,-8.114249103,-8.90804221,-7.58083929,-9.746138069,-6.793548655,-10.9983825,-7.826636043,-9.514628573
hsa-miR-19a(1),-12.42989059,-13.78997229,-12.75943113,-11.96232596,-10.10358763,-12.1053951,-12.1225079,-12.25707967,-10.93335896,-11.95752689,-11.66941263,-10.71091697,-11.1313546,-9.971675278,-9.409238134,-9.489795665,-11.09005454,-9.965997819,-11.32651878,-9.698858652,-11.95943886,-8.732886577,-14.07607713,-9.895285041,-11.86836766
hsa-miR-99a(1),-9.181245962,-8.253887682,-6.957430965,-7.174069591,-8.554811529,-9.572608645,-7.588810784,-9.111929123,-7.791163747,-7.1633069,-8.274049586,-6.989016128,-9.93518406,-6.85193679,-6.819861348,-11.31594997,-9.014500129,-9.396142515,-6.157953043,-10.91072471,-9.526485624,-7.30760777,-11.22828095,-9.30333357,-7.715281658
hsa-miR-138(2),-13.70082757,-15.38931052,-14.14758816,-12.4873322,-13.17033649,-11.15231213,-16.80228555,-29.89735285,-17.25801215,-16.3586789,-15.24226941,-15.17668107,-13.97737226,-16.99422418,-15.81886844,-29.89735285,-17.1702833,-29.89735285,-13.03087079,-14.94971592,-18.8819378,-15.90476851,-19.52014232,-17.2969753,-19.45648369
hsa-miR-204(1),-10.22779647,-10.48660547,-14.52217763,-8.930155449,-13.52048134,-9.349873676,-8.559180134,-14.91810631,-16.67304964,-9.547356831,-10.36727806,-12.65219014,-11.84756279,-12.74611825,-11.30194238,-16.53925115,-11.68119908,-29.89735285,-13.19313848,-11.981036,-16.81221239,-10.82258942,-16.52557621,-14.62050147,-17.87498504
hsa-miR-30d(1),-6.632104381,-5.173109176,-5.286375238,-6.275344839,-5.875781821,-5.435806961,-7.744589282,-6.253948348,-6.047892964,-4.736570927,-6.163263474,-6.550497221,-6.805041218,-6.511235787,-6.2332714,-5.105877235,-6.360893966,-6.113468669,-6.024532397,-6.036736504,-6.994815624,-5.966222931,-7.019880545,-6.664294674,-5.939707967
