Embryological_type,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut
hsa-miR-216b(1),-14.44614174,-15.16603382,-12.32773455,-16.76806984,-29.89735285,-29.89735285,-29.89735285,-14.64987032,-20.93445685,-17.69890781,-15.44614174,-19.60964047,-18.08758473,-20.74506801,-19.21787275,-18.04014938,-20.81786807,-18.86806563,-29.89735285,-29.89735285,-29.89735285,-18.93156857,-29.89735285,-29.89735285,-19.66853416,-29.89735285,-29.89735285,-29.89735285,-17.96071491,-20.34853095,-29.89735285,-20.07717389,-16.89243018,-19.01318233,-15.73779683,-9.607839358,-7.927137755,-6.448195391,-29.89735285,-13.9383471,-16.25349666,-7.281653179,-18.02467797,-8.084150595,-12.4648762,-22.61195064,-17.61832272,-16.91542887,-8.507356081,-29.89735285,-12.91303454,-11.37080777,-10.03219956,-19.27164401,-29.89735285,-12.73167051,-16.18740747
hsa-miR-181b(2),-13.48365882,-14.16868828,-17.68668151,-12.85052726,-13.78182145,-11.20804755,-11.31632517,-13.29060066,-14.72601966,-12.10308296,-12.16751972,-11.50192332,-13.50195261,-12.19303039,-13.08113167,-12.31393949,-12.18434903,-11.52252986,-14.86979237,-14.34060733,-12.50374453,-12.82709561,-14.40487372,-13.61868561,-13.38159143,-12.87217003,-12.40978756,-12.73801364,-12.75244571,-12.51509191,-12.14831492,-12.55336043,-9.001034495,-11.33220242,-11.34783138,-10.36122329,-10.27329817,-10.56420406,-13.92034131,-12.06443812,-10.63987523,-11.14196972,-12.49216152,-10.70864087,-10.9868243,-10.27561574,-11.98325975,-9.242402221,-12.21527725,-10.57368012,-10.92667959,-12.95262936,-12.47824031,-11.33759862,-13.74372166,-14.07607713,-15.60244497
hsa-miR-505(1),-13.57050208,-14.83986874,-29.89735285,-13.27240037,-14.03675081,-12.01540247,-12.7665209,-14.50195261,-12.53319254,-12.33109066,-12.01349247,-11.01935584,-14.27908207,-12.65823918,-12.01438747,-12.68430561,-12.95860027,-11.68829936,-12.20774383,-13.96809445,-11.91878203,-11.53743604,-12.40420886,-10.57262512,-10.50871327,-11.93025609,-11.70935328,-12.57258338,-11.18054009,-12.10554133,-13.73386041,-11.04074496,-14.21457767,-16.34660607,-14.79816944,-13.55305695,-14.14497221,-14.31098216,-29.89735285,-29.89735285,-14.55652914,-13.90255748,-16.11394531,-14.18740747,-12.27222908,-12.88326698,-13.30951675,-13.71627826,-14.28195311,-14.38005255,-12.20175752,-14.27335709,-14.25631718,-12.99457736,-12.87788157,-14.62778782,-13.4902843
hsa-miR-490-3p(1),-17.31098216,-11.41839763,-16.10374954,-13.8849902,-11.63837284,-11.60036497,-13.86332771,-12.53406506,-18.35142308,-11.51253538,-20.72993471,-29.89735285,-29.89735285,-18.42567764,-21.80459571,-29.89735285,-17.77129374,-19.54200176,-29.89735285,-29.89735285,-15.08858974,-13.26678709,-15.40174762,-29.89735285,-16.81387353,-17.33225078,-29.89735285,-13.57225825,-15.37697972,-18.58107132,-14.73386041,-16.49860916,-14.02949499,-29.89735285,-20.32370567,-23.46773689,-29.89735285,-20.9258093,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-14.80228555,-17.38313194,-18.91721328,-18.00937072,-29.89735285,-16.12421365,-29.89735285,-29.89735285,-20.01013224,-29.89735285,-29.89735285,-29.89735285
hsa-miR-136-5p(1),-12.27754841,-11.76552101,-15.09867856,-13.55305695,-12.75913106,-12.14093335,-13.21858768,-12.84960054,-15.53925115,-11.00217995,-16.55305695,-14.45583514,-18.08758473,-16.28771238,-11.98220289,-17.04209503,-17.23112885,-14.84410573,-13.64801715,-13.42218942,-13.86547938,-14.56000971,-13.81886844,-15.22007366,-15.52557621,-16.89243018,-14.08858974,-13.57225825,-12.4227438,-13.31244906,-11.14831492,-13.72016693,-14.43651304,-12.72120893,-11.68656738,-10.14665404,-12.26204568,-11.66078269,-10.21884384,-8.954011011,-8.690303968,-8.955996416,-12.93272996,-10.13606297,-10.31803139,-8.631503776,-11.77179308,-12.8161295,-11.43604528,-8.796073459,-12.08561442,-14.11907034,-11.85132131,-14.41114632,-14.63878682,-14.05137284,-14.19010158
hsa-miR-1185-1-3p(1),-16.96255626,-19.63291025,-29.89735285,-15.01987699,-16.92976633,-15.60244497,-16.03432814,-17.23557476,-18.47213695,-17.69890781,-18.20473735,-15.07857098,-18.08758473,-17.74570202,-14.71822129,-29.89735285,-18.96071491,-18.11190039,-29.89735285,-16.10374954,-29.89735285,-29.89735285,-29.89735285,-20.40149783,-20.66373318,-21.13912964,-18.41051783,-18.47739268,-29.89735285,-18.65061226,-29.89735285,-18.49327572,-13.37851532,-12.96473438,-14.45259676,-13.01465011,-15.24226941,-16.06367211,-15.92257979,-15.52557621,-13.1085071,-14.19010158,-13.7221152,-14.67229608,-13.68744263,-13.69890781,-14.27621674,-14.89155289,-19.01318233,-15.38313194,-17.2625418,-18.42060665,-17.92437307,-19.13248126,-29.89735285,-16.65209727,-29.89735285
hsa-miR-598(1),-13.57050208,-14.59171857,-29.89735285,-15.37697972,-14.41429288,-13.27843688,-12.95075494,-14.23390594,-13.02118367,-14.46886182,-14.94971592,-16.14497221,-16.49860916,-12.92551745,-18.10781921,-15.7221152,-13.13710071,-13.39396188,-12.99623848,-14.93156857,-12.76678229,-11.31504546,-12.81924375,-9.361730995,-12.06442576,-11.7197484,-13.36475342,-14.57401656,-12.4227438,-15.0440433,-13.14830837,-12.93737355,-13.57577702,-12.46458261,-15.59528518,-12.61903953,-13.59350077,-14.90476851,-14.91810631,-12.06443812,-12.42536812,-12.90170714,-10.31468344,-12.53461279,-11.81279357,-8.914905115,-9.415755409,-12.99517797,-13.1270503,-10.92160283,-11.85753953,-12.03509084,-12.40447477,-11.36147,-10.40156417,-12.75222672,-13.02103976
hsa-miR-494(1),-17.59814484,-14.81055317,-29.89735285,-14.63878682,-16.73622097,-29.89735285,-17.27850855,-16.12421365,-18.35142308,-16.52557621,-17.55861647,-14.67229608,-29.89735285,-16.3586789,-13.08014433,-18.04014938,-18.49327572,-16.82053726,-15.86979237,-15.68364106,-29.89735285,-19.50933557,-15.40174762,-20.27713303,-19.91721328,-20.13912964,-18.41051783,-29.89735285,-16.96255626,-17.67154291,-29.89735285,-29.89735285,-13.60244497,-13.52898281,-14.59528518,-11.79160289,-15.31685873,-13.82723191,-13.33463343,-12.93890209,-12.25825949,-12.19121437,-14.77776323,-14.40800661,-13.68744263,-12.14392715,-14.60603824,-14.30805283,-15.20364811,-14.96809445,-16.77776323,-19.5641975,-16.64321001,-18.50933557,-19.41555342,-15.87845723,-17.19172047
hsa-miR-323b(1),-19.76806984,-17.59243118,-29.89735285,-17.46168259,-29.89735285,-29.89735285,-19.18310734,-19.93445685,-29.89735285,-15.94061371,-19.72993471,-14.18740747,-29.89735285,-17.93880014,-14.0440433,-18.04014938,-21.81520381,-19.54200176,-17.45648369,-15.25914323,-29.89735285,-20.51364856,-29.89735285,-20.86117924,-20.74253474,-20.13912964,-29.89735285,-16.48531234,-16.96255626,-19.0285303,-29.89735285,-19.07557887,-14.57401656,-13.85689188,-13.58107132,-11.84509261,-16.63731543,-16.8373325,-11.45985272,-12.52386742,-12.04880938,-11.02128862,-13.18629089,-15.99610882,-12.95029813,-9.591005188,-12.04103676,-14.73779683,-14.68744263,-14.96809445,-16.58107132,-29.89735285,-29.89735285,-20.01013224,-19.99648605,-29.89735285,-29.89735285
hsa-miR-432(1),-15.44614174,-15.94971592,-15.68364106,-13.73582728,-14.09362533,-29.89735285,-15.40174762,-14.97272589,-18.12834153,-14.28771238,-15.60964047,-10.60431909,-15.76164357,-15.38931052,-11.54897912,-13.95428865,-16.81720154,-14.56349869,-17.45648369,-12.8393717,-15.67606784,-16.81387353,-15.40174762,-19.86117924,-19.27164401,-19.14079653,-17.41051783,-13.95658046,-14.43971547,-16.7393744,-29.89735285,-17.7552458,-12.61961141,-10.31550499,-9.726072196,-8.265284197,-11.06722764,-13.4902843,-9.334321411,-10.66588555,-9.4253701,-8.88135803,-13.95887592,-14.18740747,-11.81279357,-10.02166199,-11.93895873,-11.88370305,-13.54959309,-10.41140958,-14.8314319,-15.81055317,-15.11394531,-17.2025597,-17.41303343,-15.06862132,-14.60603824
hsa-miR-19b(2),-8.5551843,-9.64286165,-12.4758386,-8.655737969,-9.532667792,-8.729998416,-8.815777747,-10.01458892,-8.359871853,-8.967788859,-10.95577504,-10.07034671,-12.83847325,-9.527441392,-9.478275297,-12.36943302,-10.83269428,-10.2804451,-10.19207484,-10.51175793,-9.586205462,-9.88354087,-12.23428125,-8.356663359,-9.672585686,-9.996965086,-9.724481018,-10.52528064,-8.916139578,-9.545753612,-9.148314104,-8.721755793,-8.249450926,-10.45902394,-10.05202208,-11.3833015,-9.521180821,-7.779587067,-8.385409628,-9.00030436,-8.685256687,-8.940503838,-8.828069618,-8.145420669,-9.122480556,-8.599316025,-7.168854134,-9.485907036,-6.889345761,-8.114249103,-8.90804221,-8.9734393,-7.58083929,-6.793548655,-7.826636043,-9.514628573,-8.931219209
hsa-miR-409-5p(1),-19.18310734,-16.19821423,-29.89735285,-14.83986874,-15.56699614,-14.59886064,-15.89594466,-16.97179841,-17.76485312,-14.02467797,-18.14497221,-13.36627605,-16.08357166,-17.15968299,-14.14758816,-16.0440433,-18.81387353,-16.91186665,-14.64987032,-15.74570202,-29.89735285,-17.51472883,-29.89735285,-19.28080401,-18.52014232,-18.55305695,-17.41051783,-29.89735285,-16.15546458,-23.67045904,-12.41135064,-18.49327572,-11.96118078,-12.41285248,-12.10887666,-10.72655246,-13.59350077,-14.99610882,-12.91927926,-10.56967084,-10.90070835,-10.61967043,-13.74967093,-13.29349473,-11.95029813,-10.61352972,-13.34810966,-13.41429288,-16.19821423,-11.32214232,-13.97040831,-19.29930035,-17.27164401,-20.01013224,-29.89735285,-17.4590808,-16.18740747
hsa-miR-218(2),-11.95561745,-12.91635425,-14.5154044,-11.58560011,-11.90351886,-11.0767999,-11.50138367,-11.91368562,-14.24787212,-11.43062315,-13.50530381,-12.41448976,-13.99846809,-12.52652925,-13.23176711,-14.13455559,-11.90968914,-13.99610882,-13.06335099,-13.85261723,-12.97322466,-12.40097496,-13.81886844,-11.81954616,-12.74711965,-12.882319,-12.68186725,-12.77904034,-11.71396947,-12.55885149,-13.14830837,-12.88709795,-9.312232596,-16.55305695,-15.13455559,-13.00287847,-12.14522705,-13.04870546,-12.33432048,-12.71651129,-12.30406387,-12.66069394,-11.48827273,-10.60172739,-10.18476372,-7.064771452,-9.9925301,-11.89780971,-10.64555611,-12.79607474,-11.45103684,-10.15990909,-11.29627489,-9.431154882,-10.13108763,-13.67795742,-12.02103976
hsa-miR-133a(2),-12.66265702,-9.28125995,-12.89555985,-10.8343265,-9.062214553,-9.030507856,-10.18226561,-9.683302964,-15.03432814,-8.699404304,-10.59224854,-14.01032268,-12.46170701,-11.37645415,-12.6824646,-11.48206084,-11.81704537,-10.57052183,-13.08690674,-13.15734816,-12.12893589,-10.5260335,-15.40174762,-15.56000971,-11.18480906,-12.65726963,-11.35820162,-12.37095296,-10.8779413,-14.74967093,-13.14830837,-10.24824406,-11.81808684,-18.7875222,-12.22779647,-13.82933038,-11.7646222,-16.11394531,-13.92034131,-12.35394337,-13.86547938,-15.3586789,-14.92257979,-14.7737164,-13.68744263,-14.76565663,-12.75905105,-14.30512943,-14.31980601,-14.96809445,-15.31098216,-10.78254806,-11.36095764,-9.769400082,-12.61459019,-14.17401188,-11.86903667
hsa-miR-25(1),-9.214490252,-11.25382779,-11.90392792,-9.689462718,-10.66494364,-8.95650735,-9.435064276,-9.706363543,-7.382565132,-10.0484503,-9.699939363,-8.320266145,-11.07516794,-10.23032623,-9.011019199,-9.523518053,-10.01993091,-10.06717656,-11.57302725,-11.38423442,-8.905483673,-9.816881409,-10.64932107,-8.146599669,-9.667054423,-9.795231046,-8.762331893,-9.273267814,-8.849459456,-9.838609307,-9.485348531,-9.585738672,-8.192772028,-9.658238017,-10.05406663,-9.150003942,-9.037169885,-9.114787289,-9.218844695,-8.616976262,-8.434892519,-8.537770568,-8.122298437,-7.896011669,-9.206138401,-8.431028403,-7.743192991,-9.185606071,-8.135477842,-8.089481094,-7.989738553,-7.888660945,-8.235048696,-7.852216128,-9.302319427,-9.946523607,-9.715228905
hsa-miR-184(1),-29.89735285,-18.24899527,-15.09867856,-15.76968089,-29.89735285,-29.89735285,-17.59814484,-18.25801215,-19.93445685,-19.11599314,-19.40549976,-16.60964047,-29.89735285,-11.07504655,-17.92437307,-14.23390594,-18.91008884,-13.78793026,-14.64987032,-29.89735285,-13.67418073,-18.93156857,-12.81924375,-14.80641344,-18.59243118,-13.67229608,-29.89735285,-29.89735285,-18.96071491,-20.67094066,-29.89735285,-29.89735285,-12.63782105,-14.82304411,-10.70114217,-10.30620675,-9.599536498,-15.19821423,-13.92034131,-12.71651129,-29.89735285,-12.0392079,-15.60244497,-15.99610882,-12.27222908,-19.15757224,-14.12679219,-16.53925115,-16.00556915,-13.38159143,-29.89735285,-15.11394531,-12.25922809,-14.98203364,-11.68394007,-12.66517554,-11.23676497
hsa-miR-141(1),-6.261357921,-7.379318558,-8.979657365,-8.578918169,-9.541650118,-10.01540098,-8.082647185,-7.223051949,-5.04486192,-9.078106954,-7.315223279,-6.019707838,-11.08267965,-6.637013869,-6.485241768,-9.986573999,-7.410182587,-8.205071947,-6.086074794,-6.526942675,-5.357952444,-6.360308322,-9.082280765,-6.559680052,-6.101912124,-6.639926596,-4.914019237,-6.923928743,-6.870959769,-6.086107725,-6.284127794,-6.455440326,-5.62325329,-6.215804942,-7.56493599,-6.293331673,-7.02340866,-5.198715422,-4.919284232,-6.668998289,-5.121321698,-5.486156623,-5.625610442,-5.211659796,-6.487592522,-15.32275933,-5.702385569,-6.764904742,-4.600620259,-4.808967105,-5.770446294,-5.599057333,-5.111863767,-5.745769683,-6.170231139,-4.987835289,-6.154102311
hsa-miR-217(1),-12.5894939,-12.67365278,-13.22585325,-15.91364666,-18.73622097,-29.89735285,-16.79242655,-12.53406506,-15.34660607,-15.69890781,-13.4902843,-15.56000971,-18.08758473,-15.83564415,-15.56000971,-14.34060733,-14.79406505,-15.47213695,-15.86979237,-14.79406505,-14.08858974,-17.19172047,-29.89735285,-16.53925115,-16.87845723,-15.78589111,-15.40800661,-15.66853416,-14.63878682,-15.37085361,-29.89735285,-15.98671012,-15.81055317,-20.27530103,-13.60964047,-7.919408477,-6.973302609,-4.965088577,-14.91810631,-29.89735285,-13.79816944,-5.853838804,-18.02467797,-6.689122068,-13.27222908,-18.61542283,-15.40174762,-14.89155289,-5.852343647,-14.96809445,-12.23673712,-9.487727814,-8.05803679,-13.77776323,-17.53650577,-10.99606462,-12.86903667
hsa-miR-489(1),-17.31098216,-18.48796192,-29.89735285,-29.89735285,-16.42060665,-29.89735285,-16.05382432,-17.04794775,-15.34660607,-16.44614174,-11.17967308,-17.4333177,-29.89735285,-10.98082898,-13.13040991,-12.71993332,-11.13841724,-11.48201132,-29.89735285,-13.26444283,-11.08870599,-19.50933557,-13.08228233,-10.86968169,-9.740308206,-10.32352633,-11.29085004,-15.15546458,-12.19371284,-10.71299565,-11.0328372,-10.44574328,-13.46070637,-22.59357211,-16.42060665,-20.29930035,-29.89735285,-19.93156857,-29.89735285,-29.89735285,-10.67329699,-29.89735285,-29.89735285,-16.99422418,-29.89735285,-20.29187334,-19.70506004,-18.56980021,-20.01013224,-29.89735285,-14.03190954,-12.42937324,-15.68364106,-14.63878682,-17.53650577,-18.46168259,-29.89735285
hsa-miR-323a(1),-19.18310734,-17.39551567,-29.89735285,-17.16179683,-16.42060665,-29.89735285,-16.32275933,-19.25349666,-19.93445685,-16.05382432,-18.0285303,-13.57577702,-17.0855768,-16.58107132,-13.06531584,-18.04014938,-19.23557476,-18.16603382,-15.13455559,-15.4787096,-29.89735285,-17.19172047,-29.89735285,-18.86117924,-20.10456256,-18.55305695,-18.41051783,-15.31098216,-16.37085361,-20.34853095,-29.89735285,-18.49327572,-14.5154044,-13.35716426,-12.85558677,-10.42356388,-14.02227548,-15.34060733,-13.92034131,-29.89735285,-10.71136439,-10.34991039,-13.53410784,-14.67229608,-12.27222908,-8.052582354,-12.14038614,-13.79611579,-15.36475342,-13.38159143,-15.58816075,-17.42060665,-20.72993471,-20.01013224,-19.99648605,-17.87498504,-16.18740747
hsa-miR-889(1),-29.89735285,-14.44936564,-29.89735285,-15.80228555,-18.73622097,-15.60244497,-16.93698885,-17.39800522,-29.89735285,-17.11190039,-19.14079653,-15.79406505,-29.89735285,-18.42567764,-13.67984948,-29.89735285,-20.23201694,-17.77776323,-15.13455559,-15.62414004,-29.89735285,-17.51472883,-13.81886844,-20.0534318,-19.82053726,-20.13912964,-29.89735285,-29.89735285,-17.96071491,-19.58674007,-29.89735285,-18.07557887,-13.69316383,-12.97018833,-14.8483552,-11.93754897,-15.38931052,-16.47213695,-12.91927926,-13.52387592,-12.12897466,-11.90170714,-14.39551567,-15.99610882,-15.27050309,-9.860951155,-13.1897915,-14.52217763,-16.31098216,-13.15864042,-17.2625418,-18.07159902,-15.68364106,-18.59243118,-29.89735285,-29.89735285,-29.89735285
hsa-miR-485-5p(1),-18.18310734,-17.30629808,-15.36475342,-14.66853416,-14.56699614,-13.27843688,-17.86117924,-15.81055317,-29.89735285,-13.55826837,-18.0285303,-14.60603824,-14.76565663,-17.28540591,-15.35262986,-13.87195371,-18.91008884,-16.77776323,-29.89735285,-14.09614973,-29.89735285,-18.51472883,-29.89735285,-21.86392985,-20.21260423,-29.89735285,-17.41051783,-15.89594466,-16.96255626,-17.0855768,-29.89735285,-20.07717389,-12.93139951,-13.53410784,-10.79083847,-10.58465156,-13.00773007,-14.22559067,-12.11193232,-11.20193763,-11.40028069,-10.33876959,-14.75764164,-15.40800661,-11.1023025,-11.69163118,-15.03432814,-13.72406611,-15.69125424,-11.87853328,-15.77776323,-18.42060665,-17.40800661,-18.59243118,-19.99648605,-18.46168259,-29.89735285
hsa-miR-330(1),-11.20334532,-12.35172468,-29.89735285,-14.91364666,-13.56699614,-15.60244497,-15.86117924,-12.2838871,-9.97697092,-13.28771238,-10.68779716,-9.50431335,-14.76565663,-10.91123028,-11.34463123,-11.79393185,-10.7238221,-10.16267961,-12.5976887,-11.81181297,-9.879251857,-11.36243069,-15.40174762,-10.15902965,-10.66799654,-11.1118046,-11.09690791,-10.995661,-10.28947354,-9.927700742,-10.48534957,-10.49571915,-12.08371569,-12.80655813,-11.43749703,-13.14989412,-12.99322396,-14.34060733,-11.11192912,-11.93890209,-13.08833842,-12.45424743,-11.5742761,-14.67229608,-14.27335709,-10.79600292,-13.76968089,-13.93156857,-14.68744263,-14.38005255,-13.58461168,-13.40018711,-13.72016693,-14.8483552,-13.10199804,-12.20692512,-11.83341012
hsa-miR-134(1),-14.44614174,-13.41429288,-10.99878984,-11.43832955,-13.37851532,-11.43043997,-13.38313194,-13.38621792,-15.57401656,-12.07169838,-15.22007366,-12.89007368,-12.02030842,-14.27050309,-13.03322718,-13.13497082,-15.56000971,-14.95887592,-10.47839261,-11.6175972,-12.97322466,-14.60603824,-11.15628094,-19.86117924,-17.28310313,-15.09362533,-14.60244497,-15.89594466,-15.50530381,-15.29930035,-12.7332807,-17.26936307,-9.213580339,-10.92088662,-10.48005864,-10.0593154,-11.67129822,-11.33838663,-9.59735563,-8.535182135,-9.564773185,-9.934873362,-13.48696776,-11.60172739,-9.163702765,-10.16080063,-11.22975271,-12.21594285,-12.13932488,-9.737179821,-13.37544575,-14.43651304,-13.911422,-15.38313194,-15.67606784,-12.88973422,-13.28406697
hsa-miR-410(1),-15.7221152,-14.94061371,-29.89735285,-15.16073952,-15.56699614,-14.59886064,-15.94061371,-16.44614174,-20.93445685,-14.81470481,-17.40800661,-12.77142486,-17.0855768,-16.93880014,-12.04689129,-15.7221152,-18.81387353,-16.58107132,-16.4590808,-14.40174762,-29.89735285,-17.34420358,-15.40174762,-18.86117924,-19.0518628,-19.55305695,-17.41051783,-16.15546458,-17.37575241,-17.76485312,-14.73386041,-18.49327572,-12.9008573,-11.70974464,-13.28426845,-11.06996363,-13.52898281,-15.14497221,-10.52696769,-10.23846499,-10.11870779,-10.74642801,-13.08885367,-12.90658408,-14.27335709,-8.622355995,-11.22671735,-13.82304411,-14.83986874,-10.41140958,-16.58107132,-17.23780286,-17.14497221,-17.46428909,-19.41555342,-29.89735285,-29.89735285
hsa-miR-339-3p(1),-13.01450684,-12.88637682,-11.59782731,-12.87112121,-13.60783823,-12.27843688,-11.81586942,-12.32909239,-11.47463924,-12.06441341,-11.98799296,-11.42939314,-11.91647136,-12.2026685,-12.57274157,-11.13496757,-12.17182017,-11.11333792,-11.54878029,-12.18885493,-11.91878203,-12.28589573,-12.40420886,-13.34210468,-11.88199225,-12.18551115,-11.5896095,-13.39240976,-13.31833161,-12.25068165,-9.875295299,-12.7281912,-10.3154333,-11.64717011,-11.83937699,-12.54883216,-11.91598626,-11.56767475,-9.919284843,-10.56967084,-11.00087262,-11.27367494,-11.02689782,-11.70864329,-9.517339995,-10.36014773,-11.29185887,-12.55437539,-11.99288287,-11.05910607,-11.45103684,-12.39274332,-12.15347829,-11.49975342,-11.24527816,-11.84488032,-10.07202136
hsa-miR-487b(1),-16.18740747,-14.1371527,-17.68668151,-15.32868416,-15.27621674,-13.27843688,-14.91810631,-15.89594466,-20.93445685,-14.71822129,-16.14497221,-12.03067158,-18.08758473,-15.83564415,-11.55532595,-15.0440433,-17.95703926,-15.34060733,-12.24621705,-14.79406505,-29.89735285,-16.4333177,-29.89735285,-18.05578851,-17.25349666,-18.33225078,-16.08357166,-16.89418635,-17.37575241,-17.67154291,-29.89735285,-18.07557887,-11.06051041,-10.72697542,-10.83635882,-8.786433755,-11.52855655,-12.82193638,-13.92034131,-11.43640508,-10.51679244,-10.49077413,-13.16750644,-13.29349473,-12.68726182,-8.485021286,-11.60613718,-12.25951102,-14.42377393,-11.71807061,-15.00083123,-16.79242655,-16.73150371,-18.20038533,-18.41051783,-29.89735285,-17.19172047
hsa-miR-132(1),-11.68991426,-13.36932615,-10.94382137,-11.67933838,-13.18181979,-12.27843688,-10.63170805,-13.45583514,-13.59350077,-10.67642903,-9.646310858,-10.84110677,-14.76565663,-11.51447979,-11.36057444,-11.9543917,-10.63947015,-11.33531171,-13.20775065,-12.9140586,-12.15010394,-10.6929441,-11.49731983,-9.764899565,-9.494672799,-11.39992979,-10.47905344,-13.23154507,-11.86386532,-12.5458787,-11.41134671,-12.65906941,-8.059647935,-7.716993842,-12.58509916,-10.69139021,-8.563276018,-12.97686043,-11.21884555,-10.76897835,-8.991473045,-11.33877145,-9.400236824,-10.82411869,-10.51733999,-10.70207197,-7.919420701,-7.873277444,-11.36583432,-9.047134725,-12.46652465,-12.99183657,-9.938927581,-9.950409467,-8.380272222,-10.82115312,-10.83341012
hsa-miR-143(1),-3.479741497,-0.781313828,-5.829253104,-1.18853649,-0.785970498,-1.678615347,-2.863014628,-1.518110055,-5.061782691,-1.498614515,-4.001084968,-4.991507145,-7.275823873,-3.294824687,-5.446920359,-6.803452256,-4.45477184,-4.386410987,-3.745296157,-5.622465585,-2.637923904,-2.646292731,-5.657694239,-5.207133429,-3.885742264,-4.245348368,-3.459006897,-1.77599195,-2.809099392,-4.226868944,-2.43435474,-3.322671707,-6.253128641,-7.497227033,-7.197941588,-5.158558283,-5.732918802,-7.235010009,-3.783574926,-4.652731482,-2.544524388,-3.686283645,-4.808800095,-5.492206585,-4.625668637,-4.691572131,-3.631187925,-4.97551464,-3.403661372,-4.382445248,-4.393362143,-2.516284267,-3.491086302,-4.488704686,-6.626473986,-4.716464787,-4.008413259
hsa-miR-381(1),-14.12679219,-9.370225247,-16.68516048,-10.98247141,-12.52695491,-12.79301005,-11.96763212,-10.86347822,-13.8462289,-12.96949389,-15.0440433,-11.91083303,-17.0855768,-13.53582024,-11.66298446,-14.58107132,-15.91364666,-14.91364666,-12.32639281,-13.41586873,-15.67606784,-14.7066022,-15.40174762,-17.57542476,-15.28195311,-15.58816075,-14.08858974,-16.48531234,-29.89735285,-15.63144484,-14.73386041,-16.37085361,-10.00149508,-10.48463417,-12.84341637,-8.737679193,-13.48696776,-10.22652202,-11.01239238,-10.66588555,-7.509228592,-9.442274517,-12.24740907,-10.32161789,-11.57178827,-9.050079067,-10.40227663,-11.87172121,-10.57506158,-9.756544298,-12.97075571,-12.07968213,-12.03741775,-15.4655941,-16.91008884,-14.11907034,-14.19010158
hsa-miR-215(1),-13.03130553,-15.42060665,-14.43651304,-15.66853416,-13.95428865,-13.14092684,-14.61325173,-13.97737226,-12.69805434,-15.05382432,-12.86992196,-12.00999537,-13.66103963,-9.970914964,-11.30291161,-12.56612098,-13.08272032,-12.3092092,-10.73457309,-9.013941393,-11.97323046,-11.84229289,-10.23428299,-10.41024884,-11.60431685,-11.79319436,-7.248973766,-12.69812145,-8.700391798,-11.75252536,-7.443257677,-6.572845675,-13.0482899,-13.84410573,-16.83059092,-17.12009754,-14.42694818,-13.66853416,-13.92034131,-13.71627826,-12.90070283,-14.77776323,-13.62414004,-13.82513649,-15.27050309,-17.56980021,-13.61325173,-14.59528518,-12.33726636,-14.38005255,-9.972593982,-9.225274595,-9.875646283,-13.27707574,-12.96339716,-12.23317643,-12.69910927
hsa-miR-382-5p(1),-13.94971592,-14.89594466,-12.32773455,-12.05784763,-12.12169757,-10.64616635,-12.83564415,-14.21183751,-17.47476242,-12.75489674,-16.17668107,-12.74013423,-13.38621792,-15.66103963,-13.44453249,-14.45583514,-16.09362533,-14.93608405,-29.89735285,-11.75620366,-13.86547938,-16.60964047,-14.40487372,-19.54200176,-18.55305695,-17.55583403,-16.08357166,-15.89594466,-14.78997229,-15.93156857,-12.7332807,-17.26936307,-9.943028727,-10.54719708,-9.86478646,-9.413964133,-11.97887391,-12.13081101,-10.67135704,-9.220085708,-9.506715746,-9.806549085,-14.38313194,-12.82412131,-8.986825034,-10.04449269,-11.94892858,-12.43057536,-12.66984032,-9.68059634,-12.35664208,-14.99610882,-16.08357166,-16.19821423,-16.24226941,-14.25068165,-13.60603824
hsa-miR-28-3p(1),-11.06204258,-9.784555762,-12.87793587,-9.06047575,-10.09255064,-9.819003956,-9.060901779,-9.259513673,-12.61666363,-9.221676591,-10.10969575,-10.97132331,-12.53180787,-10.51808661,-10.98978146,-11.13496757,-10.3568899,-10.76111768,-10.28574624,-10.2261539,-10.50374244,-10.48681041,-11.59685282,-11.5169087,-9.911424775,-10.95607595,-10.3117576,-11.60911309,-10.56102064,-10.26523448,-10.82638552,-12.12272663,-10.99818478,-11.82871626,-13.11374069,-11.48651647,-10.84917999,-10.39482014,-12.59735787,-11.82342575,-11.45090356,-12.60625412,-12.21170748,-11.99404173,-11.36533563,-11.83897526,-11.60350855,-11.12189046,-11.36944447,-11.44243511,-10.36871561,-9.898301134,-9.750764291,-11.23145141,-11.50296553,-10.13203761,-11.21368312
