Embryological_type,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut,Non-midgut
hsa-miR-653-5p(1),-14.48531234,-14.98203364,-29.89735285,-17.16179683,-14.15020886,-14.59886064,-14.86117924,-14.78997229,-12.74919408,-12.01793114,-10.66471411,-18.02083591,-13.99846809,-10.31003131,-12.2609194,-10.93333357,-10.67574921,-10.98536993,-9.591485928,-8.548824593,-9.5341164,-15.23112885,-11.81924375,-9.6408251,-8.691145708,-9.851421258,-10.35450802,-12.45710819,-9.22888419,-8.25335006,-9.645813812,-9.790361881,-14.77776323,-20.27530103,-15.51878704,-19.88892423,-29.89735285,-20.9258093,-29.89735285,-29.89735285,-9.72298425,-16.3586789,-21.02698813,-29.89735285,-15.27050309,-19.44614174,-17.06169716,-20.3737909,-16.31098216,-15.96809445,-12.53017702,-10.27788331,-13.2632934,-13.65172588,-16.82723191,-15.7066022,-15.19280073
hsa-miR-1(2),-9.920261632,-7.459782617,-12.77840165,-8.222965735,-8.620062616,-9.742382742,-10.27748574,-7.478809709,-13.32868416,-9.788266996,-10.55786816,-14.24787212,-14.76565663,-9.311939141,-12.3948551,-12.4271468,-10.97632843,-11.58262801,-11.50147569,-10.61484581,-13.86547938,-10.85472091,-12.23428125,-17.24674983,-12.79112732,-13.09170973,-12.73736329,-11.01187096,-12.30368454,-14.81055317,-11.2738464,-12.12272663,-10.88922245,-16.51202968,-12.24371003,-12.59039225,-11.82972943,-15.31098216,-29.89735285,-15.52557621,-13.67418073,-15.3586789,-16.22007366,-15.99610882,-13.68744263,-15.96809445,-14.1216397,-12.46016973,-14.2283571,-29.89735285,-19.58674007,-9.552748109,-10.30149806,-12.83960434,-15.32275933,-11.86840542,-13.38313194
hsa-miR-200c(1),-7.464431513,-10.00646815,-11.36336161,-10.46547375,-10.5441134,-11.24281122,-8.947465601,-8.916045493,-7.139403185,-10.31803139,-6.261867647,-5.370873256,-10.20785473,-6.329245155,-6.069974482,-6.757900489,-6.413193383,-6.403199318,-8.593034958,-7.869772799,-6.344993096,-7.362380362,-9.83435284,-7.787305465,-7.19905387,-7.351909679,-6.946266143,-7.742229211,-7.742730642,-6.764227108,-7.862911864,-7.391076027,-4.788609193,-5.127541639,-5.545724297,-5.212069422,-4.732542461,-4.619538568,-6.405556628,-7.016071944,-6.331778668,-6.593367309,-7.022366442,-6.080780376,-9.082402764,-16.22007366,-7.264325274,-5.671604167,-6.130729625,-6.539733467,-7.334275778,-6.350159767,-5.522167688,-6.451575655,-6.797646928,-7.062339108,-7.070077029
hsa-miR-455-3p(1),-16.07358757,-15.12937535,-29.89735285,-15.91364666,-18.73622097,-14.59886064,-13.82723191,-17.39800522,-29.89735285,-15.94061371,-15.81886844,-15.04892552,-29.89735285,-15.83564415,-16.19821423,-16.0440433,-15.72993471,-15.52557621,-13.99610882,-17.23557476,-15.67606784,-15.51202968,-29.89735285,-13.44292503,-12.93680784,-15.07358757,-15.08858974,-29.89735285,-16.15546458,-15.11394531,-29.89735285,-15.07857098,-11.88717991,-12.51823683,-12.24637827,-12.81290776,-13.40800661,-13.36323239,-12.59735787,-13.9383471,-13.73386041,-12.50315814,-11.69233285,-13.18669438,-12.95029813,-16.27621674,-11.81066718,-12.8161295,-14.30805283,-12.05910915,-13.31833161,-15.32868416,-13.59171857,-14.78589111,-13.66665688,-15.7066022,-17.19172047
hsa-miR-369(1),-14.72601966,-15.08357166,-17.68668151,-14.09614973,-15.93156857,-14.01509192,-15.69125424,-15.84410573,-29.89735285,-14.96809445,-17.0285303,-14.47541953,-17.0855768,-15.61687204,-11.48415468,-16.0440433,-18.49327572,-16.25349666,-29.89735285,-15.02467797,-29.89735285,-16.60964047,-15.40174762,-19.28080401,-18.42060665,-19.55305695,-17.41051783,-14.39240976,-17.37575241,-17.07159902,-29.89735285,-16.49860916,-12.20910938,-12.20326027,-13.82304411,-11.2360201,-13.88280926,-14.26765473,-11.01239238,-11.52386742,-10.81531559,-10.74642801,-13.06548897,-13.18669438,-14.27335709,-11.22710809,-11.96401951,-12.79241632,-13.78182145,-12.15864042,-15.26481198,-14.82723191,-13.8126275,-16.59528518,-18.99799593,-15.99610882,-17.19172047
hsa-miR-148a(1),-8.160260686,-8.148389011,-12.14612918,-7.471521785,-9.917824386,-8.247216613,-7.139242712,-7.727022183,-7.168165087,-8.400063315,-10.82181625,-11.01186202,-12.69408133,-9.164421141,-10.52830298,-11.13292505,-10.53344056,-11.04793554,-9.724352872,-10.05607261,-11.28134972,-9.758161261,-10.11880564,-12.52357858,-10.05660412,-9.580571946,-8.446171933,-9.654518344,-10.26667157,-10.89578797,-8.349571994,-9.438031308,-7.869117279,-6.257634689,-8.941920751,-5.26518771,-9.237270759,-2.553051299,-4.941760986,-8.684662931,-6.844632083,-3.986913534,-6.428561535,-2.029124022,-5.952555198,-9.239027166,-6.288018308,-7.139656032,-1.929313722,-7.327562362,-5.379071354,-6.250319065,-5.00802088,-7.454399743,-10.12197084,-8.371629903,-10.37718117
hsa-miR-92b(1),-11.33408581,-13.9383471,-12.43736099,-12.52571232,-12.92905731,-12.14093335,-10.88975612,-12.34148309,-10.38027943,-12.77360527,-11.26593419,-11.2737821,-14.11650555,-12.27605931,-11.79776361,-11.70200468,-12.02216146,-12.08136298,-13.86979237,-13.48696776,-11.544387,-11.56538626,-11.31674464,-11.13080453,-10.25303357,-11.44390939,-11.07591829,-11.63398736,-12.63097806,-11.46311966,-29.89735285,-12.45362416,-10.06134412,-10.36650458,-11.37118223,-11.28858547,-11.20663186,-13.3586789,-10.67135704,-10.38104494,-11.5532477,-11.08818137,-8.243207658,-11.37933369,-10.00544013,-11.46801559,-9.188267358,-10.85516447,-11.05404209,-9.517592701,-10.25604723,-10.22564594,-9.904355067,-8.303031895,-8.03651669,-10.47090586,-9.400907661
hsa-miR-455-5p(1),-16.12421365,-15.29349473,-29.89735285,-14.32868416,-14.27621674,-11.69347438,-11.65885481,-14.98203364,-18.12834153,-12.65301689,-15.51878704,-15.85261723,-16.49860916,-14.7221152,-15.87845723,-18.04014938,-15.22559067,-15.61687204,-12.75523582,-15.62414004,-14.08858974,-13.31538734,-11.59685282,-13.48200719,-12.37059383,-14.52557621,-14.41114632,-15.89594466,-14.96347782,-14.12937535,-12.14831492,-12.76404003,-10.20783255,-11.55675077,-12.10402262,-12.87598244,-13.93608405,-12.60329756,-10.91928484,-12.71651129,-10.66580352,-11.19121437,-9.635319964,-12.23915532,-9.845962005,-15.41429288,-10.38524899,-12.38587042,-12.70590803,-8.988718354,-11.20608301,-14.52217763,-11.68105696,-12.02748795,-11.33861079,-13.22118915,-11.98150848
hsa-miR-653-3p(1),-16.38313194,-16.42060665,-29.89735285,-17.99046226,-15.27621674,-29.89735285,-15.29930035,-16.37085361,-13.88936201,-12.71441542,-9.873809645,-15.90476851,-14.76565663,-9.645695933,-11.63237429,-11.71992845,-9.822048683,-10.27092726,-11.57302725,-10.63979236,-10.94574655,-15.51202968,-10.54622813,-10.02771985,-9.648875101,-9.999519213,-11.00039967,-11.97168252,-10.36570868,-9.755229588,-12.14831492,-9.548465885,-13.76766736,-20.01318233,-15.20364811,-19.14916,-29.89735285,-18.11599314,-29.89735285,-29.89735285,-11.36344143,-29.89735285,-29.89735285,-29.89735285,-29.89735285,-20.6142645,-18.24450788,-18.28540591,-17.42567764,-29.89735285,-12.32807574,-11.58366378,-14.72993471,-13.8741183,-16.60964047,-16.4590808,-15.60244497
hsa-miR-34a(1),-10.67796451,-9.832133963,-11.90392792,-11.12084914,-10.47431288,-10.60036273,-10.16756783,-11.44870819,-8.762895824,-10.44120101,-9.819938606,-9.334022497,-11.87694255,-10.38375825,-10.55769637,-10.8421843,-10.19567074,-8.872425586,-10.02940754,-11.12876466,-11.02981167,-9.653630301,-12.08228233,-10.45473125,-11.02543559,-10.59088837,-10.50290063,-10.93258332,-10.50246735,-10.36928798,-9.925921566,-9.434868554,-8.75805195,-8.361823066,-8.247547177,-8.770369278,-8.53052001,-10.43337356,-8.380125611,-8.768978978,-9.865942408,-10.29504907,-10.33636518,-9.663127158,-10.06277379,-10.6012634,-9.52154023,-7.871350238,-9.876547849,-8.617270267,-10.20175752,-9.396262084,-8.562544926,-8.517925304,-9.131087629,-9.980820229,-9.061679432
